DrawDate,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Ball 6,Bonus Ball,Ball Set,Machine,Raffles,DrawNumber
01-Jun-2016,39,27,41,49,36,23,6,6,Guinevere,"AQUA82864961;AQUA29903033,AQUA67861973,GOLD01284022,GOLD74303761,GREY55970886,GREY87210594,JADE18697995,JADE30494495,LIME07325928,NAVY84561209,PINK41889440,PLUM93524846,ROSE48596735,ROSE53283854,ROSE73214017,ROSE97551058,TEAL26141921,TEAL29735877,TEAL40532456,TEAL70011735",2133
28-May-2016,57,10,52,36,8,40,59,5,Arthur,"PINK99764330,TEAL06839675;AQUA22272898,AQUA44954305,BLUE61498531,GOLD16360268,GOLD58385161,GREY16967854,GREY31679372,GREY47964540,JADE53685695,JADE97790573,LIME32367249,LIME33892911,LIME74955958,NAVY40626054,NAVY75682069,PINK00762822,ROSE02850630,ROSE57959617,TEAL04642496,TEAL75854626",2132
25-May-2016,6,55,45,44,33,20,16,5,Arthur,"PLUM18255382,PLUM68881947;AQUA66288737,BLUE24262757,BLUE77360435,GOLD39242323,GOLD61388615,GOLD82053296,GOLD88632494,GOLD99352969,GREY23440973,GREY26522656,LIME20434384,LIME22394516,LIME67593943,NAVY55757208,PLUM19913910,PLUM19972089,PLUM46405653,ROSE04586884,ROSE08343360,ROSE31130703",2131
21-May-2016,6,28,52,19,30,7,46,8,Guinevere,"JADE60001384,TEAL24461231;AQUA22589427,AQUA41542708,AQUA92610135,BLUE11411409,BLUE51130956,BLUE68605514,BLUE83165387,GOLD02461080,GOLD24752050,GOLD71624134,JADE01337036,JADE38001892,JADE54102169,NAVY01067591,NAVY26189808,PINK55160253,PLUM46348294,ROSE07948626,ROSE87517797,RUBY72588738",2130
18-May-2016,28,34,1,3,37,46,59,7,Guinevere,"GREY16113978,NAVY12816617;BLUE08031813,BLUE12390268,BLUE14394830,BLUE97304868,GOLD21396579,GREY15381837,GREY36683989,JADE93531676,JADE94020034,LIME09357362,LIME65138584,NAVY67296787,PINK02504596,ROSE85942945,RUBY20231677,RUBY73260622,RUBY91515422,TEAL53543070,TEAL83977178,TEAL86059525",2129
14-May-2016,9,24,51,12,23,32,16,8,Guinevere,"GOLD64551243,RUBY54017523;AQUA03694156,AQUA14010846,AQUA42705780,BLUE72869278,GOLD66858415,GOLD98509702,GREY20586276,JADE37691302,JADE67292079,LIME69449363,NAVY01074103,NAVY05899368,NAVY71334108,NAVY80442585,PINK02579381,PINK66456621,ROSE20145495,RUBY34837274,RUBY70938978,TEAL50871254",2128
11-May-2016,49,23,33,54,22,13,53,7,Guinevere,"GREY82279217,PLUM40536084;AQUA72310058,AQUA92006334,BLUE44924874,BLUE57588721,BLUE66018284,BLUE74863419,JADE14942191,JADE61554057,JADE95290004,NAVY64556262,NAVY71730336,PLUM35634347,PLUM48886676,PLUM86137809,RUBY25531224,RUBY94654482,TEAL13433124,TEAL23278196,TEAL38227139,TEAL70278222",2127
07-May-2016,4,34,14,27,36,17,28,6,Guinevere,"PINK61322213,PLUM26458955;AQUA87461796,BLUE65423153,BLUE71456694,JADE09585451,JADE25882113,JADE32496607,JADE52588710,JADE69131735,JADE95370151,LIME40034264,LIME43142314,LIME61442458,LIME91535715,PINK82032831,PLUM97578982,ROSE07579522,ROSE41850799,ROSE55182956,RUBY81447514,TEAL55229406",2126
04-May-2016,20,3,4,21,1,2,22,3,Arthur,"PLUM71961224,PLUM81360840;AQUA52905902,BLUE78974372,BLUE82617758,BLUE86123703,GOLD22112446,GOLD75504891,GREY07565831,GREY50038930,JADE80648421,LIME64303114,LIME69056891,NAVY87971247,PINK79087004,PLUM60612875,ROSE42173963,RUBY59424814,RUBY70063767,RUBY92594677,TEAL10196323,TEAL46388613",2125
30-Apr-2016,1,5,2,56,38,53,31,2,Guinevere,"NAVY22594429;AQUA62483101,AQUA98298849,BLUE22439112,BLUE72917340,GOLD06069199,GOLD43765879,GOLD85138563,GREY11834406,JADE21187323,JADE31429477,LIME61498020,NAVY21046564,NAVY32289916,NAVY89709828,PINK05196775,PINK38221245,RUBY50725645,RUBY65966329,RUBY71653562,TEAL34440390",2124
27-Apr-2016,24,34,57,12,29,39,28,4,Guinevere,"LIME64854918;AQUA77714909,BLUE12098770,BLUE55595213,GOLD31291680,GOLD41141949,GOLD58534838,GOLD61629014,GOLD72484190,GREY90659266,JADE69947862,LIME52526738,LIME62700245,NAVY27507989,NAVY68457453,PLUM38028089,ROSE20719473,RUBY20506571,RUBY22939049,TEAL04158849,TEAL88049662",2123
23-Apr-2016,44,14,26,2,59,35,24,1,Guinevere,"GREY10260381;AQUA65511488,BLUE68224413,BLUE99352482,JADE72321084,LIME61943123,LIME75189606,NAVY86410186,PINK16516997,PINK97417659,PLUM08181736,PLUM10717617,PLUM15505197,PLUM35440033,PLUM57337075,PLUM59901078,PLUM98927033,ROSE86588917,RUBY11093797,RUBY18199215,RUBY45114526",2122
